date,product_id,product_name,category,sales,units_sold,inventory_level,price
2024-05-03,P001,Wireless Earbuds Pro,Electronics,1078.44,12,188,89.87
2024-05-04,P001,Wireless Earbuds Pro,Electronics,1461.76,16,172,91.36
2024-05-05,P001,Wireless Earbuds Pro,Electronics,1346.7,15,157,89.78
2024-05-06,P001,Wireless Earbuds Pro,Electronics,1178.84,13,144,90.68
2024-05-07,P001,Wireless Earbuds Pro,Electronics,995.28,11,133,90.48
2024-05-08,P001,Wireless Earbuds Pro,Electronics,985.27,11,122,89.57
2024-05-09,P001,Wireless Earbuds Pro,Electronics,1059.24,12,110,88.27
2024-05-10,P001,Wireless Earbuds Pro,Electronics,894.8,10,100,89.48
2024-05-11,P001,Wireless Earbuds Pro,Electronics,1263.78,14,86,90.27
2024-05-12,P001,Wireless Earbuds Pro,Electronics,1242.08,14,72,88.72
2024-05-13,P001,Wireless Earbuds Pro,Electronics,1167.27,13,59,89.79
2024-05-14,P001,Wireless Earbuds Pro,Electronics,1064.52,12,47,88.71
2024-05-15,P001,Wireless Earbuds Pro,Electronics,990.99,11,196,90.09
2024-05-16,P001,Wireless Earbuds Pro,Electronics,993.63,11,185,90.33
2024-05-17,P001,Wireless Earbuds Pro,Electronics,1076.76,12,173,89.73
2024-05-18,P001,Wireless Earbuds Pro,Electronics,1374.9,15,158,91.66
2024-05-19,P001,Wireless Earbuds Pro,Electronics,1424.64,16,142,89.04
2024-05-20,P001,Wireless Earbuds Pro,Electronics,1155.57,13,129,88.89
2024-05-21,P001,Wireless Earbuds Pro,Electronics,1058.76,12,117,88.23
2024-05-22,P001,Wireless Earbuds Pro,Electronics,991.87,11,106,90.17
2024-05-23,P001,Wireless Earbuds Pro,Electronics,1171.82,13,93,90.14
2024-05-24,P001,Wireless Earbuds Pro,Electronics,1076.64,12,81,89.72
2024-05-25,P001,Wireless Earbuds Pro,Electronics,1250.76,14,67,89.34
2024-05-26,P001,Wireless Earbuds Pro,Electronics,1455.04,16,51,90.94
2024-05-27,P001,Wireless Earbuds Pro,Electronics,1149.2,13,198,88.4
2024-05-28,P001,Wireless Earbuds Pro,Electronics,1165.32,13,185,89.64
2024-05-29,P001,Wireless Earbuds Pro,Electronics,1086.48,12,173,90.54
2024-05-30,P001,Wireless Earbuds Pro,Electronics,1271.62,14,159,90.83
2024-05-31,P001,Wireless Earbuds Pro,Electronics,1076.52,12,147,89.71
2024-06-01,P001,Wireless Earbuds Pro,Electronics,1544.79,17,130,90.87
2024-06-02,P001,Wireless Earbuds Pro,Electronics,1437.12,16,114,89.82
2024-06-03,P001,Wireless Earbuds Pro,Electronics,1066.92,12,102,88.91
2024-06-04,P001,Wireless Earbuds Pro,Electronics,1276.94,14,88,91.21
2024-06-05,P001,Wireless Earbuds Pro,Electronics,1181.57,13,75,90.89
2024-06-06,P001,Wireless Earbuds Pro,Electronics,1162.33,13,62,89.41
2024-06-07,P001,Wireless Earbuds Pro,Electronics,1187.81,13,49,91.37
2024-06-08,P001,Wireless Earbuds Pro,Electronics,1553.8,17,192,91.4
2024-06-09,P001,Wireless Earbuds Pro,Electronics,1179.49,13,179,90.73
2024-06-10,P001,Wireless Earbuds Pro,Electronics,1166.36,13,166,89.72
2024-06-11,P001,Wireless Earbuds Pro,Electronics,1146.6,13,153,88.2
2024-06-12,P001,Wireless Earbuds Pro,Electronics,1174.03,13,140,90.31
2024-06-13,P001,Wireless Earbuds Pro,Electronics,1342.8,15,125,89.52
2024-06-14,P001,Wireless Earbuds Pro,Electronics,1074.48,12,113,89.54
2024-06-15,P001,Wireless Earbuds Pro,Electronics,1715.51,19,94,90.29
2024-06-16,P001,Wireless Earbuds Pro,Electronics,1537.65,17,77,90.45
2024-06-17,P001,Wireless Earbuds Pro,Electronics,1181.18,13,64,90.86
2024-06-18,P001,Wireless Earbuds Pro,Electronics,1166.1,13,51,89.7
2024-06-19,P001,Wireless Earbuds Pro,Electronics,1152.71,13,198,88.67
2024-06-20,P001,Wireless Earbuds Pro,Electronics,1263.08,14,184,90.22
2024-06-21,P001,Wireless Earbuds Pro,Electronics,1167.14,13,171,89.78
2024-06-22,P001,Wireless Earbuds Pro,Electronics,1433.76,16,155,89.61
2024-06-23,P001,Wireless Earbuds Pro,Electronics,1517.59,17,138,89.27
2024-06-24,P001,Wireless Earbuds Pro,Electronics,1174.55,13,125,90.35
2024-06-25,P001,Wireless Earbuds Pro,Electronics,1442.4,16,109,90.15
2024-06-26,P001,Wireless Earbuds Pro,Electronics,1258.88,14,95,89.92
2024-06-27,P001,Wireless Earbuds Pro,Electronics,989.67,11,84,89.97
2024-06-28,P001,Wireless Earbuds Pro,Electronics,1290.94,14,70,92.21
2024-06-29,P001,Wireless Earbuds Pro,Electronics,1624.68,18,52,90.26
2024-06-30,P001,Wireless Earbuds Pro,Electronics,1600.92,18,194,88.94
2024-07-01,P001,Wireless Earbuds Pro,Electronics,1360.05,15,179,90.67
2024-07-02,P001,Wireless Earbuds Pro,Electronics,1337.55,15,164,89.17
2024-07-03,P001,Wireless Earbuds Pro,Electronics,1330.95,15,149,88.73
2024-07-04,P001,Wireless Earbuds Pro,Electronics,1287.44,14,135,91.96
2024-07-05,P001,Wireless Earbuds Pro,Electronics,1163.24,13,122,89.48
2024-07-06,P001,Wireless Earbuds Pro,Electronics,1611.72,18,104,89.54
2024-07-07,P001,Wireless Earbuds Pro,Electronics,1440.8,16,88,90.05
2024-07-08,P001,Wireless Earbuds Pro,Electronics,1175.46,13,75,90.42
2024-07-09,P001,Wireless Earbuds Pro,Electronics,1187.94,13,62,91.38
2024-07-10,P001,Wireless Earbuds Pro,Electronics,1166.1,13,49,89.7
2024-07-11,P001,Wireless Earbuds Pro,Electronics,1333.2,15,194,88.88
2024-07-12,P001,Wireless Earbuds Pro,Electronics,1276.38,14,180,91.17
2024-07-13,P001,Wireless Earbuds Pro,Electronics,1442.56,16,164,90.16
2024-07-14,P001,Wireless Earbuds Pro,Electronics,1723.11,19,145,90.69
2024-07-15,P001,Wireless Earbuds Pro,Electronics,1154.4,13,132,88.8
2024-07-16,P001,Wireless Earbuds Pro,Electronics,1353.9,15,117,90.26
2024-07-17,P001,Wireless Earbuds Pro,Electronics,1264.2,14,103,90.3
2024-07-18,P001,Wireless Earbuds Pro,Electronics,1172.6,13,90,90.2
2024-07-19,P001,Wireless Earbuds Pro,Electronics,1250.9,14,76,89.35
2024-07-20,P001,Wireless Earbuds Pro,Electronics,1898.82,21,55,90.42
2024-07-21,P001,Wireless Earbuds Pro,Electronics,1539.86,17,198,90.58
2024-07-22,P001,Wireless Earbuds Pro,Electronics,1179.1,13,185,90.7
2024-07-23,P001,Wireless Earbuds Pro,Electronics,1338.75,15,170,89.25
2024-07-24,P001,Wireless Earbuds Pro,Electronics,1355.4,15,155,90.36
2024-07-25,P001,Wireless Earbuds Pro,Electronics,1375.5,15,140,91.7
2024-07-26,P001,Wireless Earbuds Pro,Electronics,1250.34,14,126,89.31
2024-07-27,P001,Wireless Earbuds Pro,Electronics,1517.42,17,109,89.26
2024-07-28,P001,Wireless Earbuds Pro,Electronics,1625.4,18,91,90.3
2024-07-29,P001,Wireless Earbuds Pro,Electronics,1270.22,14,77,90.73
2024-07-30,P001,Wireless Earbuds Pro,Electronics,1278.2,14,63,91.3
2024-07-31,P001,Wireless Earbuds Pro,Electronics,1294.16,14,49,92.44
2024-08-01,P001,Wireless Earbuds Pro,Electronics,1338.3,15,194,89.22
2024-08-02,P001,Wireless Earbuds Pro,Electronics,1175.46,13,181,90.42
2024-08-03,P001,Wireless Earbuds Pro,Electronics,1631.34,18,163,90.63
2024-08-04,P001,Wireless Earbuds Pro,Electronics,1708.48,19,144,89.92
2024-08-05,P001,Wireless Earbuds Pro,Electronics,1152.19,13,131,88.63
2024-08-06,P001,Wireless Earbuds Pro,Electronics,1270.64,14,117,90.76
2024-08-07,P001,Wireless Earbuds Pro,Electronics,1244.18,14,103,88.87
2024-08-08,P001,Wireless Earbuds Pro,Electronics,1264.76,14,89,90.34
2024-08-09,P001,Wireless Earbuds Pro,Electronics,1171.69,13,76,90.13
2024-08-10,P001,Wireless Earbuds Pro,Electronics,1690.24,19,57,88.96
2024-08-11,P001,Wireless Earbuds Pro,Electronics,1719.31,19,198,90.49
2024-08-12,P001,Wireless Earbuds Pro,Electronics,1364.1,15,183,90.94
2024-08-13,P001,Wireless Earbuds Pro,Electronics,1158.95,13,170,89.15
2024-08-14,P001,Wireless Earbuds Pro,Electronics,1356.75,15,155,90.45
2024-08-15,P001,Wireless Earbuds Pro,Electronics,1401.9,15,140,93.46
2024-08-16,P001,Wireless Earbuds Pro,Electronics,1365.15,15,125,91.01
2024-08-17,P001,Wireless Earbuds Pro,Electronics,1811.6,20,105,90.58
2024-08-18,P001,Wireless Earbuds Pro,Electronics,1632.06,18,87,90.67
2024-08-19,P001,Wireless Earbuds Pro,Electronics,1167.14,13,74,89.78
2024-08-20,P001,Wireless Earbuds Pro,Electronics,1260.84,14,60,90.06
2024-08-21,P001,Wireless Earbuds Pro,Electronics,1501.27,17,43,88.31
2024-08-22,P001,Wireless Earbuds Pro,Electronics,1328.1,15,188,88.54
2024-08-23,P001,Wireless Earbuds Pro,Electronics,1273.58,14,174,90.97
2024-08-24,P001,Wireless Earbuds Pro,Electronics,1691.38,19,155,89.02
2024-08-25,P001,Wireless Earbuds Pro,Electronics,1540.2,17,138,90.6
2024-08-26,P001,Wireless Earbuds Pro,Electronics,1172.34,13,125,90.18
2024-08-27,P001,Wireless Earbuds Pro,Electronics,1251.6,14,111,89.4
2024-08-28,P001,Wireless Earbuds Pro,Electronics,1448.96,16,95,90.56
2024-08-29,P001,Wireless Earbuds Pro,Electronics,1081.92,12,83,90.16
2024-08-30,P001,Wireless Earbuds Pro,Electronics,1179.88,13,70,90.76
2024-08-31,P001,Wireless Earbuds Pro,Electronics,1528.13,17,53,89.89
2024-09-01,P001,Wireless Earbuds Pro,Electronics,1724.63,19,194,90.77
2024-09-02,P001,Wireless Earbuds Pro,Electronics,1165.97,13,181,89.69
2024-09-03,P001,Wireless Earbuds Pro,Electronics,1162.2,13,168,89.4
2024-09-04,P001,Wireless Earbuds Pro,Electronics,1445.6,16,152,90.35
2024-09-05,P001,Wireless Earbuds Pro,Electronics,1089.84,12,140,90.82
2024-09-06,P001,Wireless Earbuds Pro,Electronics,1454.72,16,124,90.92
2024-09-07,P001,Wireless Earbuds Pro,Electronics,1432.8,16,108,89.55
2024-09-08,P001,Wireless Earbuds Pro,Electronics,1787.0,20,88,89.35
2024-09-09,P001,Wireless Earbuds Pro,Electronics,1269.66,14,74,90.69
2024-09-10,P001,Wireless Earbuds Pro,Electronics,1169.22,13,61,89.94
2024-09-11,P001,Wireless Earbuds Pro,Electronics,890.7,10,51,89.07
2024-09-12,P001,Wireless Earbuds Pro,Electronics,1155.31,13,198,88.87
2024-09-13,P001,Wireless Earbuds Pro,Electronics,1419.2,16,182,88.7
2024-09-14,P001,Wireless Earbuds Pro,Electronics,1531.87,17,165,90.11
2024-09-15,P001,Wireless Earbuds Pro,Electronics,1774.0,20,145,88.7
2024-09-16,P001,Wireless Earbuds Pro,Electronics,1350.0,15,130,90.0
2024-09-17,P001,Wireless Earbuds Pro,Electronics,1084.92,12,118,90.41
2024-09-18,P001,Wireless Earbuds Pro,Electronics,1252.3,14,104,89.45
2024-09-19,P001,Wireless Earbuds Pro,Electronics,1254.96,14,90,89.64
2024-09-20,P001,Wireless Earbuds Pro,Electronics,1268.26,14,76,90.59
2024-09-21,P001,Wireless Earbuds Pro,Electronics,1777.6,20,56,88.88
2024-09-22,P001,Wireless Earbuds Pro,Electronics,1852.83,21,195,88.23
2024-09-23,P001,Wireless Earbuds Pro,Electronics,1176.76,13,182,90.52
2024-09-24,P001,Wireless Earbuds Pro,Electronics,1252.02,14,168,89.43
2024-09-25,P001,Wireless Earbuds Pro,Electronics,1164.15,13,155,89.55
2024-09-26,P001,Wireless Earbuds Pro,Electronics,1179.75,13,142,90.75
2024-09-27,P001,Wireless Earbuds Pro,Electronics,1251.18,14,128,89.37
2024-09-28,P001,Wireless Earbuds Pro,Electronics,1715.13,19,109,90.27
2024-09-29,P001,Wireless Earbuds Pro,Electronics,1630.08,18,91,90.56
2024-09-30,P001,Wireless Earbuds Pro,Electronics,1073.88,12,79,89.49
2024-10-01,P001,Wireless Earbuds Pro,Electronics,1267.56,14,65,90.54
2024-10-02,P001,Wireless Earbuds Pro,Electronics,1171.3,13,52,90.1
2024-10-03,P001,Wireless Earbuds Pro,Electronics,1252.44,14,198,89.46
2024-10-04,P001,Wireless Earbuds Pro,Electronics,1257.34,14,184,89.81
2024-10-05,P001,Wireless Earbuds Pro,Electronics,1546.66,17,167,90.98
2024-10-06,P001,Wireless Earbuds Pro,Electronics,1632.96,18,149,90.72
2024-10-07,P001,Wireless Earbuds Pro,Electronics,1260.14,14,135,90.01
2024-10-08,P001,Wireless Earbuds Pro,Electronics,1255.94,14,121,89.71
2024-10-09,P001,Wireless Earbuds Pro,Electronics,1168.31,13,108,89.87
2024-10-10,P001,Wireless Earbuds Pro,Electronics,1176.89,13,95,90.53
2024-10-11,P001,Wireless Earbuds Pro,Electronics,1102.44,12,83,91.87
2024-10-12,P001,Wireless Earbuds Pro,Electronics,1333.5,15,68,88.9
2024-10-13,P001,Wireless Earbuds Pro,Electronics,1632.6,18,50,90.7
2024-10-14,P001,Wireless Earbuds Pro,Electronics,1177.28,13,197,90.56
2024-10-15,P001,Wireless Earbuds Pro,Electronics,1159.34,13,184,89.18
2024-10-16,P001,Wireless Earbuds Pro,Electronics,1161.94,13,171,89.38
2024-10-17,P001,Wireless Earbuds Pro,Electronics,1258.04,14,157,89.86
2024-10-18,P001,Wireless Earbuds Pro,Electronics,1076.4,12,145,89.7
2024-10-19,P001,Wireless Earbuds Pro,Electronics,1521.16,17,128,89.48
2024-10-20,P001,Wireless Earbuds Pro,Electronics,1353.15,15,113,90.21
2024-10-21,P001,Wireless Earbuds Pro,Electronics,1163.89,13,100,89.53
2024-10-22,P001,Wireless Earbuds Pro,Electronics,1082.4,12,88,90.2
2024-10-23,P001,Wireless Earbuds Pro,Electronics,975.92,11,77,88.72
2024-10-24,P001,Wireless Earbuds Pro,Electronics,1077.6,12,65,89.8
2024-10-25,P001,Wireless Earbuds Pro,Electronics,1187.16,13,52,91.32
2024-10-26,P001,Wireless Earbuds Pro,Electronics,1527.45,17,195,89.85
2024-10-27,P001,Wireless Earbuds Pro,Electronics,1425.44,16,179,89.09
2024-10-28,P001,Wireless Earbuds Pro,Electronics,1076.76,12,167,89.73
2024-10-29,P001,Wireless Earbuds Pro,Electronics,1071.0,12,155,89.25
2024-10-30,P001,Wireless Earbuds Pro,Electronics,1187.81,13,142,91.37
2024-10-31,P001,Wireless Earbuds Pro,Electronics,1084.2,12,130,90.35
2024-11-01,P001,Wireless Earbuds Pro,Electronics,1165.19,13,117,89.63
2024-11-02,P001,Wireless Earbuds Pro,Electronics,1440.0,16,101,90.0
2024-11-03,P001,Wireless Earbuds Pro,Electronics,1428.64,16,85,89.29
2024-11-04,P001,Wireless Earbuds Pro,Electronics,1085.28,12,73,90.44
2024-11-05,P001,Wireless Earbuds Pro,Electronics,1181.05,13,60,90.85
2024-11-06,P001,Wireless Earbuds Pro,Electronics,1250.2,14,46,89.3
2024-11-07,P001,Wireless Earbuds Pro,Electronics,1171.95,13,193,90.15
2024-11-08,P001,Wireless Earbuds Pro,Electronics,1249.64,14,179,89.26
2024-11-09,P001,Wireless Earbuds Pro,Electronics,1252.3,14,165,89.45
2024-11-10,P001,Wireless Earbuds Pro,Electronics,1163.76,13,152,89.52
2024-11-11,P001,Wireless Earbuds Pro,Electronics,991.43,11,141,90.13
2024-11-12,P001,Wireless Earbuds Pro,Electronics,1100.16,12,129,91.68
2024-11-13,P001,Wireless Earbuds Pro,Electronics,1073.64,12,117,89.47
2024-11-14,P001,Wireless Earbuds Pro,Electronics,994.73,11,106,90.43
2024-11-15,P001,Wireless Earbuds Pro,Electronics,916.4,10,96,91.64
2024-11-16,P001,Wireless Earbuds Pro,Electronics,1433.12,16,80,89.57
2024-11-17,P001,Wireless Earbuds Pro,Electronics,1185.73,13,67,91.21
2024-11-18,P001,Wireless Earbuds Pro,Electronics,1002.1,11,56,91.1
2024-11-19,P001,Wireless Earbuds Pro,Electronics,894.5,10,46,89.45
2024-11-20,P001,Wireless Earbuds Pro,Electronics,1620.54,18,188,90.03
2024-11-21,P001,Wireless Earbuds Pro,Electronics,1629.9,18,170,90.55
2024-11-22,P001,Wireless Earbuds Pro,Electronics,1527.62,17,153,89.86
2024-11-23,P001,Wireless Earbuds Pro,Electronics,2170.8,24,129,90.45
2024-11-24,P001,Wireless Earbuds Pro,Electronics,2224.5,25,104,88.98
2024-11-25,P001,Wireless Earbuds Pro,Electronics,1458.24,16,88,91.14
2024-11-26,P001,Wireless Earbuds Pro,Electronics,1607.76,18,70,89.32
2024-11-27,P001,Wireless Earbuds Pro,Electronics,1801.8,20,50,90.09
2024-11-28,P001,Wireless Earbuds Pro,Electronics,1710.95,19,191,90.05
2024-11-29,P001,Wireless Earbuds Pro,Electronics,1922.97,21,170,91.57
2024-11-30,P001,Wireless Earbuds Pro,Electronics,2089.78,23,147,90.86
2024-12-01,P001,Wireless Earbuds Pro,Electronics,1368.3,15,132,91.22
2024-12-02,P001,Wireless Earbuds Pro,Electronics,906.1,10,122,90.61
2024-12-03,P001,Wireless Earbuds Pro,Electronics,1060.92,12,110,88.41
2024-12-04,P001,Wireless Earbuds Pro,Electronics,881.5,10,100,88.15
2024-12-05,P001,Wireless Earbuds Pro,Electronics,906.4,10,90,90.64
2024-12-06,P001,Wireless Earbuds Pro,Electronics,1080.72,12,78,90.06
2024-12-07,P001,Wireless Earbuds Pro,Electronics,1420.0,16,62,88.75
2024-12-08,P001,Wireless Earbuds Pro,Electronics,1079.28,12,50,89.94
2024-12-09,P001,Wireless Earbuds Pro,Electronics,989.56,11,199,89.96
2024-12-10,P001,Wireless Earbuds Pro,Electronics,809.19,9,190,89.91
2024-12-11,P001,Wireless Earbuds Pro,Electronics,815.31,9,181,90.59
2024-12-12,P001,Wireless Earbuds Pro,Electronics,980.54,11,170,89.14
2024-12-13,P001,Wireless Earbuds Pro,Electronics,890.4,10,160,89.04
2024-12-14,P001,Wireless Earbuds Pro,Electronics,1271.9,14,146,90.85
2024-12-15,P001,Wireless Earbuds Pro,Electronics,1085.28,12,134,90.44
2024-12-16,P001,Wireless Earbuds Pro,Electronics,892.8,10,124,89.28
2024-12-17,P001,Wireless Earbuds Pro,Electronics,890.6,10,114,89.06
2024-12-18,P001,Wireless Earbuds Pro,Electronics,889.1,10,104,88.91
2024-12-19,P001,Wireless Earbuds Pro,Electronics,1080.24,12,92,90.02
2024-12-20,P001,Wireless Earbuds Pro,Electronics,1623.24,18,74,90.18
2024-12-21,P001,Wireless Earbuds Pro,Electronics,2154.96,24,50,89.79
2024-12-22,P001,Wireless Earbuds Pro,Electronics,2357.42,26,184,90.67
2024-12-23,P001,Wireless Earbuds Pro,Electronics,1610.46,18,166,89.47
2024-12-24,P001,Wireless Earbuds Pro,Electronics,1582.56,18,148,87.92
2024-12-25,P001,Wireless Earbuds Pro,Electronics,1459.52,16,132,91.22
2024-12-26,P001,Wireless Earbuds Pro,Electronics,1885.17,21,111,89.77
2024-12-27,P001,Wireless Earbuds Pro,Electronics,1715.13,19,92,90.27
2024-12-28,P001,Wireless Earbuds Pro,Electronics,2730.0,30,62,91.0
2024-12-29,P001,Wireless Earbuds Pro,Electronics,2139.12,24,198,89.13
2024-12-30,P001,Wireless Earbuds Pro,Electronics,1442.72,16,182,90.17
2024-12-31,P001,Wireless Earbuds Pro,Electronics,1508.07,17,165,88.71
2025-01-01,P001,Wireless Earbuds Pro,Electronics,801.18,9,156,89.02
2025-01-02,P001,Wireless Earbuds Pro,Electronics,998.58,11,145,90.78
2025-01-03,P001,Wireless Earbuds Pro,Electronics,913.2,10,135,91.32
2025-01-04,P001,Wireless Earbuds Pro,Electronics,1159.73,13,122,89.21
2025-01-05,P001,Wireless Earbuds Pro,Electronics,1357.05,15,107,90.47
2025-01-06,P001,Wireless Earbuds Pro,Electronics,808.38,9,98,89.82
2025-01-07,P001,Wireless Earbuds Pro,Electronics,798.75,9,89,88.75
2025-01-08,P001,Wireless Earbuds Pro,Electronics,1008.81,11,78,91.71
2025-01-09,P001,Wireless Earbuds Pro,Electronics,814.5,9,69,90.5
2025-01-10,P001,Wireless Earbuds Pro,Electronics,805.95,9,60,89.55
2025-01-11,P001,Wireless Earbuds Pro,Electronics,1070.52,12,48,89.21
2025-01-12,P001,Wireless Earbuds Pro,Electronics,1160.12,13,195,89.24
2025-01-13,P001,Wireless Earbuds Pro,Electronics,899.4,10,185,89.94
2025-01-14,P001,Wireless Earbuds Pro,Electronics,891.7,10,175,89.17
2025-01-15,P001,Wireless Earbuds Pro,Electronics,816.03,9,166,90.67
